Plant,Disease,Symptoms,Causes,Recommended Treatments,Preventive Measures,Organic Treatment Options,Alternative Prevention Methods,Procedure Video Link,Graphical Representation
Apple, Apple_Apple Scab,"Olive-green, velvety spots on leaves & fruits",Venturia inaequalis (fungus),Apply Captan or Mancozeb fungicide,"Grow resistant varieties (Liberty, Enterprise), prune infected areas","Neem oil spray, Copper fungicides","Crop rotation, Biological control (Trichoderma fungi)",https://youtu.be/ayCIf0V34Yc?si=8B9OE7MCheXhEa9V  / https://youtu.be/RjvLyOOlgjQ?si=j3-Plo_mg2RzB5yJ / https://youtu.be/nfee4m7Wgek?si=riVujskOrh6wYOvU,https://ag.umass.edu/sites/ag.umass.edu/files/fact-sheets/images/apple-scab_02a.jpg
Apple, Apple_Black Rot,"Brown circular lesions, fruit shriveling",Botryosphaeria obtusa (fungus),"Remove infected fruits, spray fungicides","Maintain proper sanitation, remove mummified fruit","Bordeaux mixture, Lime sulfur spray","Improve air circulation, Proper pruning",https://youtu.be/ZimkfcWq0no?si=DBiQwQZ6xyvLJPAw,https://th.bing.com/th/id/OIP.mcsqAKEjBqOYvLeoOilprAHaHa?rs=1&pid=ImgDetMain
Apple, Apple_Cedar Apple Rust,"Orange spots on leaves, fungal galls on twigs",Gymnosporangium juniperi-virginianae (fungus),Apply myclobutanil or mancozeb,"Remove nearby juniper trees (host), prune infected leaves",Sulfur-based sprays,Avoid planting near junipers,https://youtu.be/K9M8CkaIQho?si=BIjtBZUWnE87CEG4,https://mmtreecare.com/wp-content/uploads/2016/12/Cedar_apple_rust-906x475.jpg
Bell Pepper, Bell Pepper_Bacterial Spot,Water-soaked lesions on leaves & fruit,Xanthomonas campestris (bacteria),Copper-based bactericide spray,"Use disease-free seeds, avoid overhead watering",Copper hydroxide spray,Crop rotation with non-host plants,https://youtu.be/t1eIkOhfYbk?si=ejhJKKbogygTPIxn  /  https://youtu.be/XPtRY8pANzU?si=J1cs8NJsQaj_JHLB,https://vegcropshotline.org/wp-content/uploads/2023/03/PICT0015-1-1024x768.jpg
Cherry, Cherry_Powdery Mildew,White powdery patches on leaves,Podosphaera clandestina (fungus),Use sulfur-based fungicides,"Proper pruning, avoid excessive nitrogen","Neem oil, Sulfur sprays",Increase air circulation,https://youtu.be/IfwojJr-ZGQ?si=Zf4nkIS9LvHu3zlx ,https://th.bing.com/th/id/OIP.2IW16aeIhK8vQFe8zkvNcQHaE7?rs=1&pid=ImgDetMain
Corn, Corn (Maize)_Cercospora Leaf Spot,Grayish-brown spots on leaves,Cercospora zeae-maydis (fungus),Apply azoxystrobin or propiconazole fungicide,"Use resistant hybrids, rotate crops",Bordeaux mixture,Plant corn in well-spaced rows,https://youtu.be/uh1VNnw4cAc?si=gQRTQKY7KUr_txU3,https://th.bing.com/th/id/OIP.y4XJOtCl1XGSf08fAlJ58QHaFN?rs=1&pid=ImgDetMain
Corn, Corn (Maize)_Common Rust,Reddish-brown pustules on leaves,Puccinia sorghi (fungus),Apply fungicides like tebuconazole,"Use resistant hybrids, avoid dense planting",Sulfur sprays,Timely planting to avoid peak infection time,https://youtu.be/XFrrQOuhA4E?si=Zamb9qFPbA_sCEs9,https://www.krishisewa.com/images/dm8.jpg
Corn, Corn (Maize)_Northern Leaf Blight,Large cigar-shaped lesions on leaves,Exserohilum turcicum (fungus),Spray fungicides like mancozeb,"Plant resistant varieties, remove crop debris",Copper fungicides,Use balanced nitrogen fertilizers,https://youtu.be/E6CvP7Lx6M0?si=Ihl2jOk27ZVsIybp / https://youtu.be/NCfaWhGR99k?si=nQo5RSbJH7spDtE9,https://th.bing.com/th/id/OIP.8O-FV6mnUTjYwBLdsFjHeQHaEx?rs=1&pid=ImgDetMain
Grape, Grape_Black Rot,"Brown spots on leaves, shriveled grapes",Guignardia bidwellii (fungus),Apply myclobutanil or captan,"Prune infected vines, remove debris","Neem oil, Lime sulfur spray",Avoid overhead irrigation,https://youtu.be/waIQu9GzSyk?si=TtSkEJJVXbP3vFNT,https://media.sciencephoto.com/image/c0121047/800wm/C0121047-Black_rot_of_grape.jpg
Grape, Grape_Esca (Black Measles),"Yellowing leaves, dark streaks in wood",Complex fungal infection,Remove infected vines,"Proper pruning, balanced fertilization",Trichoderma-based biofungicides,Delay pruning in wet conditions,https://youtu.be/2Wq8TKBXJWY?si=yt0osiwOKM0v0qC3,https://th.bing.com/th/id/OIP.EIZUmAwgaPFh6nKBFbqrMQHaEK?rs=1&pid=ImgDetMain
Grape, Grape_Leaf Blight,Irregular brown patches on leaves,Pseudocercospora vitis (fungus),Use chlorothalonil or mancozeb fungicide,"Maintain vine health, remove weeds",Bordeaux mixture,Increase airflow through vineyards,https://youtu.be/eTA8VFeE-6Q?si=BnOUXt3r5LnYBuh8,https://thumbs.dreamstime.com/b/grape-leaf-blight-spot-symptom-plant-disease-grape-leaf-blight-spot-symptom-253098137.jpg
Peach, Peach_Bacterial Spot,"Water-soaked leaf spots, cracked fruit",Xanthomonas arboricola (bacteria),Apply copper-based sprays,"Plant resistant varieties, avoid wet conditions",Copper hydroxide spray,Remove infected branches,https://youtu.be/pya-1VpspkY?si=gvXAQIWNIO6hdoha,https://cdn.mos.cms.futurecdn.net/AA8tPA7mq5RNPw2J3rT3VH.jpg
Potato,  Potato_Early Blight,Dark concentric spots on leaves,Alternaria solani (fungus),Use fungicides like chlorothalonil,"Rotate crops, remove infected debris","Neem oil, Sulfur spray",Proper spacing between plants,https://youtu.be/kCo2U3PJIik?si=VChq0c3iOuwtxk3n / https://youtu.be/_fxkpnjH4tg?si=O7_QI6BHfdsN_4wE,https://i.ytimg.com/vi/6i5_sLY_pWc/maxresdefault.jpg
Potato,Potato_Late Blight,"Water-soaked lesions, white mold growth",Phytophthora infestans (fungus),Apply metalaxyl or copper-based fungicides,"Avoid excessive moisture, remove diseased plants","Bordeaux mixture, Copper fungicides",Use blight-resistant potato varieties,https://youtu.be/gVeDDoWwqRE?si=u8Rp25GuA1A9ZjSi / https://youtu.be/_fxkpnjH4tg?si=O7_QI6BHfdsN_4wE,https://spudsmart.com/wp-content/uploads/2017/05/potato_late-blight_08_zoom-Photo-OMAFRA.jpeg
Strawberry,Strawberry_Leaf Scorch,"Purple-red spots on leaves, wilting",Diplocarpon earliana (fungus),Use myclobutanil or captan,"Remove infected leaves, increase spacing","Neem oil, Sulfur spray",Use well-draining soil,https://youtu.be/b4YErzWKFFg?si=s5q3DTdtxa-xUFy8,https://as1.ftcdn.net/v2/jpg/02/91/75/36/1000_F_291753635_8jFcCUXylbqTwDcpjbJa591UhpTF29M1.jpg
Tomato,Tomato_Bacterial Spot,Small brown lesions on leaves & fruits,Xanthomonas vesicatoria (bacteria),Copper-based bactericide,Avoid overhead irrigation,Copper hydroxide spray,Crop rotation,https://youtu.be/CfcVhAPn9gA?si=nZXAYAauH75-wCCC,https://d3qz1qhhp9wxfa.cloudfront.net/growingproduce/wp-content/uploads/2023/06/bacterial-spot_tomatoes_featured.jpg
Tomato,Tomato_Early Blight,"Dark, circular spots on lower leaves",Alternaria solani (fungus),Use chlorothalonil or mancozeb,"Remove infected leaves, stake plants","Neem oil, Sulfur spray",Increase air circulation,https://youtu.be/NtVqk3iPT44?si=zYwDuo6quyMQvYd4 / https://youtu.be/NtVqk3iPT44?si=zYwDuo6quyMQvYd4,https://th.bing.com/th/id/OIP.tugQknrVTSyPjgoln0aPSwHaEz?rs=1&pid=ImgDetMain
Tomato, Tomato_Late Blight,"Water-soaked spots, white mold on undersides",Phytophthora infestans (fungus),Use metalaxyl-based fungicides,"Avoid wet foliage, remove infected plants",Copper fungicides,Grow resistant varieties,https://youtu.be/Wv6-66EUyQ4?si=ixV23rlZj8eD3k7v,https://www.epicgardening.com/wp-content/uploads/2023/06/late-blight-disease-on-tomato.jpeg
Tomato,Tomato_Septoria Leaf Spot,Small brown spots with yellow halos,Septoria lycopersici (fungus),Apply fungicides like azoxystrobin,"Maintain proper spacing, remove debris","Neem oil, Bordeaux mixture",Rotate tomato crops,https://youtu.be/VXRI4Hk818s?si=qHN0WuWmepMD1zNf,"https://www.thespruce.com/thmb/V7iou68zloe8juQkSMTuxkDPipw=/5300x3533/filters:fill(auto,1)/identifying-and-controlling-septoria-leaf-spot-of-tomato-1402974-02-b556ef33db30454dbc021c3e7cea89b5.jpg"
Tomato,Tomato_Yellow Leaf Curl Virus,"Yellow curled leaves, stunted growth",Begomovirus (spread by whiteflies),Use insecticides to control whiteflies,Plant resistant varieties,Neem oil,Use reflective mulch to repel insects,https://youtu.be/ugjJhxksDXM?si=GoIlpSd8AGgC8vyz,https://th.bing.com/th/id/OIP.Eu1ieuTyleiCn544JIzqNAHaFj?rs=1&pid=ImgDetMain